, acc 1
2019-04-15T11:52:42.635757: step 22057, loss 1.23861e-06, acc 1
2019-04-15T11:52:42.771397: step 22058, loss 9.49948e-08, acc 1
2019-04-15T11:52:42.906035: step 22059, loss 4.80555e-07, acc 1
2019-04-15T11:52:43.042670: step 22060, loss 2.26598e-05, acc 1
2019-04-15T11:52:43.175354: step 22061, loss 8.1023e-07, acc 1
2019-04-15T11:52:43.313943: step 22062, loss 8.48726e-06, acc 1
2019-04-15T11:52:43.457596: step 22063, loss 0, acc 1
2019-04-15T11:52:43.600178: step 22064, loss 0, acc 1
2019-04-15T11:52:43.734818: step 22065, loss 1.86264e-08, acc 1
2019-04-15T11:52:43.868461: step 22066, loss 0.0016686, acc 1
2019-04-15T11:52:44.009130: step 22067, loss 1.86265e-09, acc 1
2019-04-15T11:52:44.146716: step 22068, loss 6.48194e-07, acc 1
2019-04-15T11:52:44.281357: step 22069, loss 1.96872e-06, acc 1
2019-04-15T11:52:44.414999: step 22070, loss 1.5288e-05, acc 1
2019-04-15T11:52:44.556620: step 22071, loss 0.000248477, acc 1
2019-04-15T11:52:44.702232: step 22072, loss 0, acc 1
2019-04-15T11:52:44.838865: step 22073, loss 1.11759e-08, acc 1
2019-04-15T11:52:44.979490: step 22074, loss 3.12902e-06, acc 1
2019-04-15T11:52:45.112135: step 22075, loss 1.86265e-09, acc 1
2019-04-15T11:52:45.246775: step 22076, loss 3.26496e-06, acc 1
2019-04-15T11:52:45.380418: step 22077, loss 1.55528e-06, acc 1
2019-04-15T11:52:45.514060: step 22078, loss 8.45618e-07, acc 1
2019-04-15T11:52:45.661664: step 22079, loss 8.79156e-07, acc 1
2019-04-15T11:52:45.804323: step 22080, loss 1.67638e-08, acc 1
2019-04-15T11:52:45.939920: step 22081, loss 7.45058e-09, acc 1
2019-04-15T11:52:46.074598: step 22082, loss 3.53902e-08, acc 1
2019-04-15T11:52:46.207205: step 22083, loss 0.000144822, acc 1
2019-04-15T11:52:46.341845: step 22084, loss 3.75954e-05, acc 1
2019-04-15T11:52:46.475490: step 22085, loss 3.72529e-09, acc 1
2019-04-15T11:52:46.615115: step 22086, loss 1.89239e-06, acc 1
2019-04-15T11:52:46.748827: step 22087, loss 0.000156053, acc 1
2019-04-15T11:52:46.892373: step 22088, loss 6.13622e-06, acc 1
2019-04-15T11:52:47.028010: step 22089, loss 0.000405353, acc 1
2019-04-15T11:52:47.162652: step 22090, loss 0.000523597, acc 1
2019-04-15T11:52:47.299288: step 22091, loss 0.0529843, acc 0.984375
2019-04-15T11:52:47.432927: step 22092, loss 1.10064e-05, acc 1
2019-04-15T11:52:47.572553: step 22093, loss 1.92028e-06, acc 1
2019-04-15T11:52:47.715172: step 22094, loss 4.14197e-06, acc 1
2019-04-15T11:52:47.854838: step 22095, loss 2.29648e-06, acc 1
2019-04-15T11:52:48.000409: step 22096, loss 2.30131e-05, acc 1
2019-04-15T11:52:48.137045: step 22097, loss 1.57165e-05, acc 1
2019-04-15T11:52:48.274733: step 22098, loss 1.21072e-07, acc 1
2019-04-15T11:52:48.412307: step 22099, loss 2.62053e-06, acc 1
2019-04-15T11:52:48.548943: step 22100, loss 3.63213e-07, acc 1

Evaluation:
2019-04-15T11:52:48.849140: step 22100, loss 7.4793, acc 0.719512

Saved model checkpoint to C:\Users\王博\Desktop\work\9. 新毕设\1. 对比方法\cnn-text-classification-tf-master\runs\1555296597\checkpoints\model-22100

2019-04-15T11:52:49.565877: step 22101, loss 7.45058e-09, acc 1
2019-04-15T11:52:49.695530: step 22102, loss 0, acc 1
2019-04-15T11:52:49.822229: step 22103, loss 2.12441e-05, acc 1
2019-04-15T11:52:49.954835: step 22104, loss 9.87199e-08, acc 1
2019-04-15T11:52:50.103440: step 22105, loss 0.000114993, acc 1
2019-04-15T11:52:50.248052: step 22106, loss 8.50709e-05, acc 1
2019-04-15T11:52:50.392664: step 22107, loss 3.06751e-06, acc 1
2019-04-15T11:52:50.560217: step 22108, loss 2.51259e-05, acc 1
2019-04-15T11:52:50.721785: step 22109, loss 7.45056e-08, acc 1
2019-04-15T11:52:50.875374: step 22110, loss 1.01325e-06, acc 1
2019-04-15T11:52:51.012009: step 22111, loss 2.1735e-05, acc 1
2019-04-15T11:52:51.151636: step 22112, loss 7.2643e-08, acc 1
2019-04-15T11:52:51.287274: step 22113, loss 8.25493e-06, acc 1
2019-04-15T11:52:51.426901: step 22114, loss 1.94262e-06, acc 1
2019-04-15T11:52:51.564530: step 22115, loss 6.46322e-05, acc 1
2019-04-15T11:52:51.707149: step 22116, loss 5.2154e-08, acc 1
2019-04-15T11:52:51.841789: step 22117, loss 3.8329e-05, acc 1
2019-04-15T11:52:51.976431: step 22118, loss 0, acc 1
2019-04-15T11:52:52.111111: step 22119, loss 3.72529e-09, acc 1
2019-04-15T11:52:52.246706: step 22120, loss 9.07088e-07, acc 1
2019-04-15T11:52:52.381348: step 22121, loss 0.00229322, acc 1
2019-04-15T11:52:52.518979: step 22122, loss 5.6251e-07, acc 1
2019-04-15T11:52:52.664588: step 22123, loss 3.72529e-09, acc 1
2019-04-15T11:52:52.801225: step 22124, loss 1.86265e-09, acc 1
2019-04-15T11:52:52.935864: step 22125, loss 9.66141e-06, acc 1
2019-04-15T11:52:53.074492: step 22126, loss 7.36967e-06, acc 1
2019-04-15T11:52:53.216113: step 22127, loss 5.96045e-08, acc 1
2019-04-15T11:52:53.350753: step 22128, loss 2.56467e-06, acc 1
2019-04-15T11:52:53.485393: step 22129, loss 0.000140535, acc 1
2019-04-15T11:52:53.633996: step 22130, loss 0.00062191, acc 1
2019-04-15T11:52:53.768635: step 22131, loss 1.07285e-06, acc 1
2019-04-15T11:52:53.903275: step 22132, loss 1.76383e-06, acc 1
2019-04-15T11:52:54.037915: step 22133, loss 1.00583e-07, acc 1
2019-04-15T11:52:54.173553: step 22134, loss 0, acc 1
2019-04-15T11:52:54.309190: step 22135, loss 1.86265e-09, acc 1
2019-04-15T11:52:54.444826: step 22136, loss 1.02445e-07, acc 1
2019-04-15T11:52:54.581461: step 22137, loss 0.176971, acc 0.984375
2019-04-15T11:52:54.729068: step 22138, loss 0, acc 1
2019-04-15T11:52:54.866699: step 22139, loss 4.26893e-05, acc 1
2019-04-15T11:52:55.005327: step 22140, loss 1.86265e-09, acc 1
2019-04-15T11:52:55.137974: step 22141, loss 0.000144962, acc 1
2019-04-15T11:52:55.272613: step 22142, loss 1.32242e-06, acc 1
2019-04-15T11:52:55.406256: step 22143, loss 4.57054e-05, acc 1
2019-04-15T11:52:55.542890: step 22144, loss 1.55526e-06, acc 1
2019-04-15T11:52:55.686507: step 22145, loss 7.37596e-07, acc 1
2019-04-15T11:52:55.830122: step 22146, loss 3.40862e-07, acc 1
2019-04-15T11:52:55.965759: step 22147, loss 9.47277e-05, acc 1
2019-04-15T11:52:56.098442: step 22148, loss 5.58794e-09, acc 1
2019-04-15T11:52:56.232048: step 22149, loss 1.86264e-08, acc 1
2019-04-15T11:52:56.365689: step 22150, loss 1.0915e-05, acc 1
2019-04-15T11:52:56.501326: step 22151, loss 1.49012e-08, acc 1
2019-04-15T11:52:56.645940: step 22152, loss 6.5363e-05, acc 1
2019-04-15T11:52:56.781577: step 22153, loss 0.000153842, acc 1
2019-04-15T11:52:56.916217: step 22154, loss 8.9049e-05, acc 1
2019-04-15T11:52:57.054847: step 22155, loss 3.91155e-08, acc 1
2019-04-15T11:52:57.189487: step 22156, loss 8.75441e-08, acc 1
2019-04-15T11:52:57.324125: step 22157, loss 5.13473e-06, acc 1
2019-04-15T11:52:57.460809: step 22158, loss 2.98572e-05, acc 1
2019-04-15T11:52:57.608365: step 22159, loss 3.1106e-07, acc 1
2019-04-15T11:52:57.741012: step 22160, loss 0.000929705, acc 1
2019-04-15T11:52:57.876649: step 22161, loss 3.72529e-09, acc 1
2019-04-15T11:52:58.011289: step 22162, loss 4.06372e-05, acc 1
2019-04-15T11:52:58.152910: step 22163, loss 3.55763e-07, acc 1
2019-04-15T11:52:58.287550: step 22164, loss 3.72529e-09, acc 1
2019-04-15T11:52:58.421191: step 22165, loss 7.18968e-07, acc 1
2019-04-15T11:52:58.554834: step 22166, loss 8.74081e-06, acc 1
2019-04-15T11:52:58.693463: step 22167, loss 3.837e-07, acc 1
2019-04-15T11:52:58.828103: step 22168, loss 2.24433e-06, acc 1
2019-04-15T11:52:58.963740: step 22169, loss 8.56793e-07, acc 1
2019-04-15T11:52:59.097383: step 22170, loss 7.18965e-07, acc 1
2019-04-15T11:52:59.240999: step 22171, loss 0.00462721, acc 1
2019-04-15T11:52:59.377634: step 22172, loss 0.0126947, acc 0.984375
2019-04-15T11:52:59.513272: step 22173, loss 1.86264e-08, acc 1
2019-04-15T11:52:59.657883: step 22174, loss 0.0169459, acc 0.984375
2019-04-15T11:52:59.789569: step 22175, loss 4.65661e-08, acc 1
2019-04-15T11:52:59.934145: step 22176, loss 0.021589, acc 0.984375
2019-04-15T11:53:00.070781: step 22177, loss 1.13042e-05, acc 1
2019-04-15T11:53:00.207414: step 22178, loss 3.32886e-05, acc 1
2019-04-15T11:53:00.351031: step 22179, loss 3.00789e-06, acc 1
2019-04-15T11:53:00.485670: step 22180, loss 2.53672e-06, acc 1
2019-04-15T11:53:00.625297: step 22181, loss 3.6135e-07, acc 1
2019-04-15T11:53:00.758978: step 22182, loss 0.00106953, acc 1
2019-04-15T11:53:00.896630: step 22183, loss 1.86264e-08, acc 1
2019-04-15T11:53:01.034206: step 22184, loss 4.03397e-06, acc 1
2019-04-15T11:53:01.169839: step 22185, loss 6.42678e-06, acc 1
2019-04-15T11:53:01.307472: step 22186, loss 1.30385e-08, acc 1
2019-04-15T11:53:01.444108: step 22187, loss 0, acc 1
2019-04-15T11:53:01.585728: step 22188, loss 7.36878e-06, acc 1
2019-04-15T11:53:01.722401: step 22189, loss 5.04933e-06, acc 1
2019-04-15T11:53:01.856005: step 22190, loss 3.88313e-06, acc 1
2019-04-15T11:53:01.994673: step 22191, loss 1.77686e-06, acc 1
2019-04-15T11:53:02.132265: step 22192, loss 0.00366127, acc 1
2019-04-15T11:53:02.268900: step 22193, loss 0.00109845, acc 1
2019-04-15T11:53:02.403540: step 22194, loss 7.60336e-06, acc 1
2019-04-15T11:53:02.538180: step 22195, loss 0, acc 1
2019-04-15T11:53:02.696756: step 22196, loss 7.78568e-07, acc 1
2019-04-15T11:53:02.835385: step 22197, loss 2.39527e-06, acc 1
2019-04-15T11:53:02.973054: step 22198, loss 6.27699e-07, acc 1
2019-04-15T11:53:03.106707: step 22199, loss 6.86454e-05, acc 1
2019-04-15T11:53:03.239305: step 22200, loss 0, acc 1

Evaluation:
2019-04-15T11:53:03.521551: step 22200, loss 7.55296, acc 0.727017

Saved model checkpoint to C:\Users\王博\Desktop\work\9. 新毕设\1. 对比方法\cnn-text-classification-tf-master\runs\1555296597\checkpoints\model-22200

2019-04-15T11:53:04.199057: step 22201, loss 3.72529e-09, acc 1
2019-04-15T11:53:04.331704: step 22202, loss 3.53902e-08, acc 1
2019-04-15T11:53:04.460359: step 22203, loss 1.88127e-07, acc 1
2019-04-15T11:53:04.595997: step 22204, loss 8.62466e-05, acc 1
2019-04-15T11:53:04.728640: step 22205, loss 2.01898e-06, acc 1
2019-04-15T11:53:04.865276: step 22206, loss 4.86143e-07, acc 1
2019-04-15T11:53:05.005899: step 22207, loss 7.02777e-05, acc 1
2019-04-15T11:53:05.149515: step 22208, loss 2.57044e-07, acc 1
2019-04-15T11:53:05.301109: step 22209, loss 2.15309e-06, acc 1
2019-04-15T11:53:05.460685: step 22210, loss 4.93597e-07, acc 1
2019-04-15T11:53:05.611281: step 22211, loss 6.07291e-06, acc 1
2019-04-15T11:53:05.753947: step 22212, loss 0.00116872, acc 1
2019-04-15T11:53:05.894522: step 22213, loss 0.000123812, acc 1
2019-04-15T11:53:06.033151: step 22214, loss 0.000242165, acc 1
2019-04-15T11:53:06.170783: step 22215, loss 2.04891e-08, acc 1
2019-04-15T11:53:06.313402: step 22216, loss 6.23097e-05, acc 1
2019-04-15T11:53:06.456023: step 22217, loss 0.00130427, acc 1
2019-04-15T11:53:06.606618: step 22218, loss 2.18283e-05, acc 1
2019-04-15T11:53:06.751233: step 22219, loss 2.16065e-07, acc 1
2019-04-15T11:53:06.887867: step 22220, loss 3.91155e-08, acc 1
2019-04-15T11:53:07.029487: step 22221, loss 4.69918e-06, acc 1
2019-04-15T11:53:07.164127: step 22222, loss 0.000245103, acc 1
2019-04-15T11:53:07.300801: step 22223, loss 1.46354e-05, acc 1
2019-04-15T11:53:07.435402: step 22224, loss 0, acc 1
2019-04-15T11:53:07.573033: step 22225, loss 9.62188e-06, acc 1
2019-04-15T11:53:07.712661: step 22226, loss 1.11012e-06, acc 1
2019-04-15T11:53:07.847301: step 22227, loss 3.72529e-09, acc 1
2019-04-15T11:53:07.982939: step 22228, loss 0.00531023, acc 1
2019-04-15T11:53:08.120571: step 22229, loss 9.67384e-05, acc 1
2019-04-15T11:53:08.269172: step 22230, loss 2.59445e-06, acc 1
2019-04-15T11:53:08.405807: step 22231, loss 0.000534633, acc 1
2019-04-15T11:53:08.540449: step 22232, loss 8.27836e-05, acc 1
2019-04-15T11:53:08.678078: step 22233, loss 1.30569e-06, acc 1
2019-04-15T11:53:08.817706: step 22234, loss 8.19562e-08, acc 1
2019-04-15T11:53:08.955375: step 22235, loss 3.72529e-09, acc 1
2019-04-15T11:53:09.089978: step 22236, loss 6.94242e-06, acc 1
2019-04-15T11:53:09.223620: step 22237, loss 1.86265e-09, acc 1
2019-04-15T11:53:09.365240: step 22238, loss 8.88229e-06, acc 1
2019-04-15T11:53:09.502872: step 22239, loss 0.0402091, acc 0.984375
2019-04-15T11:53:09.645491: step 22240, loss 0, acc 1
2019-04-15T11:53:09.786115: step 22241, loss 2.97293e-05, acc 1
2019-04-15T11:53:09.919756: step 22242, loss 0.00011527, acc 1
2019-04-15T11:53:10.052402: step 22243, loss 4.95208e-06, acc 1
2019-04-15T11:53:10.190036: step 22244, loss 1.86265e-09, acc 1
2019-04-15T11:53:10.323678: step 22245, loss 4.09782e-08, acc 1
2019-04-15T11:53:10.467292: step 22246, loss 7.45058e-09, acc 1
2019-04-15T11:53:10.610909: step 22247, loss 4.47034e-08, acc 1
2019-04-15T11:53:10.765495: step 22248, loss 1.86265e-09, acc 1
2019-04-15T11:53:10.901134: step 22249, loss 2.49593e-07, acc 1
2019-04-15T11:53:11.032779: step 22250, loss 1.86265e-09, acc 1
2019-04-15T11:53:11.175444: step 22251, loss 0.00095469, acc 1
2019-04-15T11:53:11.312033: step 22252, loss 8.71662e-06, acc 1
2019-04-15T11:53:11.449664: step 22253, loss 0.00278789, acc 1
2019-04-15T11:53:11.614224: step 22254, loss 8.56816e-08, acc 1
2019-04-15T11:53:11.748904: step 22255, loss 0, acc 1
2019-04-15T11:53:11.885500: step 22256, loss 6.8249e-05, acc 1
2019-04-15T11:53:12.019181: step 22257, loss 0.000120008, acc 1
2019-04-15T11:53:12.153784: step 22258, loss 0, acc 1
2019-04-15T11:53:12.290455: step 22259, loss 0.00204275, acc 1
2019-04-15T11:53:12.425058: step 22260, loss 3.72529e-09, acc 1
2019-04-15T11:53:12.560692: step 22261, loss 0.0211746, acc 0.984375
2019-04-15T11:53:12.707301: step 22262, loss 9.31322e-09, acc 1
2019-04-15T11:53:12.840943: step 22263, loss 0.0265995, acc 0.984375
2019-04-15T11:53:12.976581: step 22264, loss 7.45058e-09, acc 1
2019-04-15T11:53:13.109226: step 22265, loss 1.76196e-06, acc 1
2019-04-15T11:53:13.245861: step 22266, loss 2.80244e-05, acc 1
2019-04-15T11:53:13.380501: step 22267, loss 3.33269e-05, acc 1
2019-04-15T11:53:13.519131: step 22268, loss 0, acc 1
2019-04-15T11:53:13.658756: step 22269, loss 5.2154e-08, acc 1
2019-04-15T11:53:13.807359: step 22270, loss 1.49012e-08, acc 1
2019-04-15T11:53:13.944990: step 22271, loss 0.000314039, acc 1
2019-04-15T11:53:14.078634: step 22272, loss 0, acc 1
2019-04-15T11:53:14.211318: step 22273, loss 1.68002e-06, acc 1
2019-04-15T11:53:14.345946: step 22274, loss 3.91155e-08, acc 1
2019-04-15T11:53:14.480559: step 22275, loss 4.58208e-07, acc 1
2019-04-15T11:53:14.620185: step 22276, loss 0.000564444, acc 1
2019-04-15T11:53:14.753827: step 22277, loss 7.9351e-05, acc 1
2019-04-15T11:53:14.901433: step 22278, loss 1.30385e-08, acc 1
2019-04-15T11:53:15.039101: step 22279, loss 0, acc 1
2019-04-15T11:53:15.172744: step 22280, loss 2.03027e-07, acc 1
2019-04-15T11:53:15.306389: step 22281, loss 3.83703e-07, acc 1
2019-04-15T11:53:15.441987: step 22282, loss 2.371e-06, acc 1
2019-04-15T11:53:15.575629: step 22283, loss 0.00105958, acc 1
2019-04-15T11:53:15.712264: step 22284, loss 2.09962e-05, acc 1
2019-04-15T11:53:15.847901: step 22285, loss 3.53902e-08, acc 1
2019-04-15T11:53:15.986530: step 22286, loss 0.000579891, acc 1
2019-04-15T11:53:16.124163: step 22287, loss 0.000723521, acc 1
2019-04-15T11:53:16.259799: step 22288, loss 3.72529e-09, acc 1
2019-04-15T11:53:16.395438: step 22289, loss 8.75442e-08, acc 1
2019-04-15T11:53:16.529079: step 22290, loss 5.654e-05, acc 1
2019-04-15T11:53:16.670700: step 22291, loss 3.74389e-07, acc 1
2019-04-15T11:53:16.807337: step 22292, loss 0.055482, acc 0.984375
2019-04-15T11:53:16.940977: step 22293, loss 2.01717e-06, acc 1
2019-04-15T11:53:17.076615: step 22294, loss 0.000405775, acc 1
2019-04-15T11:53:17.214247: step 22295, loss 1.94635e-06, acc 1
2019-04-15T11:53:17.349884: step 22296, loss 2.10478e-07, acc 1
2019-04-15T11:53:17.491504: step 22297, loss 2.79397e-08, acc 1
2019-04-15T11:53:17.628180: step 22298, loss 7.87886e-07, acc 1
2019-04-15T11:53:17.763778: step 22299, loss 2.98023e-08, acc 1
2019-04-15T11:53:17.899415: step 22300, loss 1.3411e-07, acc 1

Evaluation:
2019-04-15T11:53:18.188641: step 22300, loss 7.62241, acc 0.719512

Saved model checkpoint to C:\Users\王博\Desktop\work\9. 新毕设\1. 对比方法\cnn-text-classification-tf-master\runs\1555296597\checkpoints\model-22300

2019-04-15T11:53:18.879793: step 22301, loss 2.22952e-06, acc 1
2019-04-15T11:53:19.011477: step 22302, loss 4.02328e-07, acc 1
2019-04-15T11:53:19.142090: step 22303, loss 0.00018851, acc 1
2019-04-15T11:53:19.271746: step 22304, loss 6.91914e-05, acc 1
2019-04-15T11:53:19.421344: step 22305, loss 7.07804e-08, acc 1
2019-04-15T11:53:19.576928: step 22306, loss 1.86265e-09, acc 1
2019-04-15T11:53:19.726526: step 22307, loss 0, acc 1
2019-04-15T11:53:19.876127: step 22308, loss 1.89236e-06, acc 1
2019-04-15T11:53:20.032708: step 22309, loss 6.03753e-06, acc 1
2019-04-15T11:53:20.177321: step 22310, loss 3.72529e-09, acc 1
2019-04-15T11:53:20.320937: step 22311, loss 0.0953653, acc 0.984375
2019-04-15T11:53:20.458571: step 22312, loss 1.27021e-05, acc 1
2019-04-15T11:53:20.600190: step 22313, loss 1.67637e-07, acc 1
2019-04-15T11:53:20.739817: step 22314, loss 1.54227e-05, acc 1
2019-04-15T11:53:20.875454: step 22315, loss 2.36118e-05, acc 1
2019-04-15T11:53:21.011091: step 22316, loss 3.59486e-07, acc 1
2019-04-15T11:53:21.144734: step 22317, loss 2.76578e-06, acc 1
2019-04-15T11:53:21.280372: step 22318, loss 6.14672e-08, acc 1
2019-04-15T11:53:21.418003: step 22319, loss 1.03231e-05, acc 1
2019-04-15T11:53:21.567603: step 22320, loss 0, acc 1
2019-04-15T11:53:21.709226: step 22321, loss 1.30385e-08, acc 1
2019-04-15T11:53:21.848850: step 22322, loss 3.21867e-05, acc 1
2019-04-15T11:53:21.986483: step 22323, loss 3.12893e-06, acc 1
2019-04-15T11:53:22.121160: step 22324, loss 6.29562e-07, acc 1
2019-04-15T11:53:22.256759: step 22325, loss 6.33299e-08, acc 1
2019-04-15T11:53:22.396386: step 22326, loss 1.69372e-05, acc 1
2019-04-15T11:53:22.531026: step 22327, loss 1.83274e-06, acc 1
2019-04-15T11:53:22.685612: step 22328, loss 3.72529e-08, acc 1
2019-04-15T11:53:22.823244: step 22329, loss 4.84287e-08, acc 1
2019-04-15T11:53:22.957884: step 22330, loss 0.000452161, acc 1
2019-04-15T11:53:23.094520: step 22331, loss 1.29774e-05, acc 1
2019-04-15T11:53:23.230193: step 22332, loss 0.0474235, acc 0.984375
2019-04-15T11:53:23.365792: step 22333, loss 3.71603e-05, acc 1
2019-04-15T11:53:23.502429: step 22334, loss 7.29327e-06, acc 1
2019-04-15T11:53:23.643052: step 22335, loss 4.85487e-05, acc 1
2019-04-15T11:53:23.775699: step 22336, loss 3.81839e-07, acc 1
2019-04-15T11:53:23.921307: step 22337, loss 1.27027e-06, acc 1
2019-04-15T11:53:24.057942: step 22338, loss 0.00102396, acc 1
2019-04-15T11:53:24.192582: step 22339, loss 2.90173e-06, acc 1
2019-04-15T11:53:24.327221: step 22340, loss 0.00433682, acc 1
2019-04-15T11:53:24.461861: step 22341, loss 1.86265e-09, acc 1
2019-04-15T11:53:24.600491: step 22342, loss 3.40307e-05, acc 1
2019-04-15T11:53:24.735130: step 22343, loss 1.58324e-07, acc 1
2019-04-15T11:53:24.868773: step 22344, loss 0.000132072, acc 1
2019-04-15T11:53:25.009397: step 22345, loss 2.23516e-07, acc 1
2019-04-15T11:53:25.146031: step 22346, loss 4.9598e-06, acc 1
2019-04-15T11:53:25.281669: step 22347, loss 2.04891e-08, acc 1
2019-04-15T11:53:25.416345: step 22348, loss 6.68675e-07, acc 1
2019-04-15T11:53:25.552943: step 22349, loss 2.58677e-05, acc 1
2019-04-15T11:53:25.689619: step 22350, loss 2.5408e-05, acc 1
2019-04-15T11:53:25.841213: step 22351, loss 3.37135e-07, acc 1
2019-04-15T11:53:25.978851: step 22352, loss 2.04891e-08, acc 1
2019-04-15T11:53:26.115439: step 22353, loss 8.2886e-07, acc 1
2019-04-15T11:53:26.251076: step 22354, loss 3.65077e-07, acc 1
2019-04-15T11:53:26.387747: step 22355, loss 1.6372e-06, acc 1
2019-04-15T11:53:26.528334: step 22356, loss 1.86265e-09, acc 1
2019-04-15T11:53:26.668960: step 22357, loss 1.21072e-07, acc 1
2019-04-15T11:53:26.807625: step 22358, loss 1.05427e-05, acc 1
2019-04-15T11:53:26.939275: step 22359, loss 1.35393e-05, acc 1
2019-04-15T11:53:27.075870: step 22360, loss 0, acc 1
2019-04-15T11:53:27.212504: step 22361, loss 5.58793e-09, acc 1
2019-04-15T11:53:27.356120: step 22362, loss 9.24157e-06, acc 1
2019-04-15T11:53:27.493752: step 22363, loss 1.2525e-05, acc 1
2019-04-15T11:53:27.632382: step 22364, loss 2.66357e-07, acc 1
2019-04-15T11:53:27.769055: step 22365, loss 6.35154e-07, acc 1
2019-04-15T11:53:27.904654: step 22366, loss 1.60385e-05, acc 1
2019-04-15T11:53:28.036301: step 22367, loss 2.37469e-06, acc 1
2019-04-15T11:53:28.167949: step 22368, loss 1.86265e-09, acc 1
2019-04-15T11:53:28.304584: step 22369, loss 3.72529e-09, acc 1
2019-04-15T11:53:28.445207: step 22370, loss 0, acc 1
2019-04-15T11:53:28.586829: step 22371, loss 7.8195e-06, acc 1
2019-04-15T11:53:28.728474: step 22372, loss 0.000144933, acc 1
2019-04-15T11:53:28.863128: step 22373, loss 5.8482e-05, acc 1
2019-04-15T11:53:28.998727: step 22374, loss 0.0137122, acc 1
2019-04-15T11:53:29.139391: step 22375, loss 0.000175622, acc 1
2019-04-15T11:53:29.272993: step 22376, loss 9.27586e-07, acc 1
2019-04-15T11:53:29.408630: step 22377, loss 0, acc 1
2019-04-15T11:53:29.558230: step 22378, loss 1.11758e-07, acc 1
2019-04-15T11:53:29.698854: step 22379, loss 4.95457e-07, acc 1
2019-04-15T11:53:29.834492: step 22380, loss 5.06337e-05, acc 1
2019-04-15T11:53:29.969133: step 22381, loss 2.6077e-08, acc 1
2019-04-15T11:53:30.102776: step 22382, loss 4.47034e-08, acc 1
2019-04-15T11:53:30.238451: step 22383, loss 8.90654e-05, acc 1
2019-04-15T11:53:30.373053: step 22384, loss 1.31311e-06, acc 1
2019-04-15T11:53:30.511682: step 22385, loss 6.67988e-06, acc 1
2019-04-15T11:53:30.669259: step 22386, loss 2.77699e-06, acc 1
2019-04-15T11:53:30.803942: step 22387, loss 4.65656e-07, acc 1
2019-04-15T11:53:30.939536: step 22388, loss 2.04891e-08, acc 1
2019-04-15T11:53:31.072220: step 22389, loss 0.00270863, acc 1
2019-04-15T11:53:31.206821: step 22390, loss 2.6077e-08, acc 1
2019-04-15T11:53:31.348482: step 22391, loss 6.01201e-05, acc 1
2019-04-15T11:53:31.483084: step 22392, loss 3.63212e-07, acc 1
2019-04-15T11:53:31.619759: step 22393, loss 2.9158e-05, acc 1
2019-04-15T11:53:31.764330: step 22394, loss 0.000273198, acc 1
2019-04-15T11:53:31.900004: step 22395, loss 0.00694469, acc 1
2019-04-15T11:53:32.036602: step 22396, loss 9.31322e-09, acc 1
2019-04-15T11:53:32.174234: step 22397, loss 0.000238508, acc 1
2019-04-15T11:53:32.309909: step 22398, loss 2.04891e-08, acc 1
2019-04-15T11:53:32.444511: step 22399, loss 1.62787e-06, acc 1
2019-04-15T11:53:32.583140: step 22400, loss 9.3132e-08, acc 1

Evaluation:
2019-04-15T11:53:32.881343: step 22400, loss 7.55192, acc 0.722326

Saved model checkpoint to C:\Users\王博\Desktop\work\9. 新毕设\1. 对比方法\cnn-text-classification-tf-master\runs\1555296597\checkpoints\model-22400

2019-04-15T11:53:33.493978: step 22401, loss 7.45058e-09, acc 1
2019-04-15T11:53:33.626623: step 22402, loss 5.94179e-07, acc 1
2019-04-15T11:53:33.755280: step 22403, loss 4.65661e-08, acc 1
2019-04-15T11:53:33.884934: step 22404, loss 3.72529e-09, acc 1
2019-04-15T11:53:34.036527: step 22405, loss 0, acc 1
2019-04-15T11:53:34.182139: step 22406, loss 1.18552e-05, acc 1
2019-04-15T11:53:34.332737: step 22407, loss 0.00285398, acc 1
2019-04-15T11:53:34.473359: step 22408, loss 6.27537e-05, acc 1
2019-04-15T11:53:34.616975: step 22409, loss 0.000181813, acc 1
2019-04-15T11:53:34.778543: step 22410, loss 1.86265e-09, acc 1
2019-04-15T11:53:34.923156: step 22411, loss 0.00013464, acc 1
2019-04-15T11:53:35.067772: step 22412, loss 9.31322e-09, acc 1
2019-04-15T11:53:35.212429: step 22413, loss 1.93521e-05, acc 1
2019-04-15T11:53:35.348020: step 22414, loss 0.000712319, acc 1
2019-04-15T11:53:35.482697: step 22415, loss 5.58793e-09, acc 1
2019-04-15T11:53:35.625311: step 22416, loss 1.34891e-05, acc 1
2019-04-15T11:53:35.760915: step 22417, loss 5.58793e-08, acc 1
2019-04-15T11:53:35.897550: step 22418, loss 4.85333e-06, acc 1
2019-04-15T11:53:36.031193: step 22419, loss 2.23517e-08, acc 1
2019-04-15T11:53:36.164835: step 22420, loss 2.42144e-08, acc 1
2019-04-15T11:53:36.309448: step 22421, loss 0.000258234, acc 1
2019-04-15T11:53:36.443092: step 22422, loss 3.65595e-06, acc 1
2019-04-15T11:53:36.577730: step 22423, loss 1.21809e-05, acc 1
2019-04-15T11:53:36.716360: step 22424, loss 2.79397e-08, acc 1
2019-04-15T11:53:36.852994: step 22425, loss 8.14795e-05, acc 1
2019-04-15T11:53:36.989630: step 22426, loss 9.46195e-07, acc 1
2019-04-15T11:53:37.123271: step 22427, loss 0.00511335, acc 1
